repository,scope,path,line,method,declaration
core,application_or_library,CP6.Core/Pub/BaseCrudController.cs,22,GET,[HttpGet]
core,application_or_library,CP6.Core/Pub/BaseCrudController.cs,30,POST,[HttpPost]
core,application_or_library,CP6.Core/Pub/BaseCrudController.cs,34,PUT,[HttpPut]
core,application_or_library,CP6.Core/Pub/BaseCrudController.cs,42,DELETE,[HttpDelete]
core,application_or_library,CP6.WebApi/Configuration/ErpIntegrationConfiguration.cs,71,GET,".MapGet(""/dapr/subscribe"""
core,application_or_library,CP6.WebApi/Configuration/ErpIntegrationConfiguration.cs,75,POST,".MapPost(""/internal/erp/v1/events"""
core,application_or_library,CP6.WebApi/Controllers/ClientAuthController.cs,85,POST,"[HttpPost(""login"")]"
core,application_or_library,CP6.WebApi/Controllers/ClientAuthController.cs,167,POST,"[HttpPost(""2fa/setup"")]"
core,application_or_library,CP6.WebApi/Controllers/ClientAuthController.cs,179,POST,"[HttpPost(""2fa/enroll"")]"
core,application_or_library,CP6.WebApi/Controllers/ClientAuthController.cs,200,POST,"[HttpPost(""2fa/verify"")]"
core,application_or_library,CP6.WebApi/Controllers/ClientAuthController.cs,231,POST,"[HttpPost(""2fa/email-otp"")]"
core,application_or_library,CP6.WebApi/Controllers/ClientAuthController.cs,242,POST,"[HttpPost(""sso/start"")]"
core,application_or_library,CP6.WebApi/Controllers/ClientAuthController.cs,262,GET,"[HttpGet(""sso/callback"")]"
core,application_or_library,CP6.WebApi/Controllers/ClientAuthController.cs,297,POST,"[HttpPost(""sso/exchange"")]"
core,application_or_library,CP6.WebApi/Controllers/ClientAuthController.cs,322,POST,"[HttpPost(""refresh"")]"
core,application_or_library,CP6.WebApi/Controllers/ClientAuthController.cs,368,POST,"[HttpPost(""logout"")]"
core,application_or_library,CP6.WebApi/Controllers/ClientAuthController.cs,397,POST,"[HttpPost(""quick-switch"")]"
core,application_or_library,CP6.WebApi/Controllers/ClientBootstrapController.cs,25,GET,"[HttpGet(""bootstrap"")]"
core,application_or_library,CP6.WebApi/Controllers/ClientDevicesController.cs,14,POST,"[HttpPost(""activate"")]"
core,application_or_library,CP6.WebApi/Controllers/ClientDevicesController.cs,28,POST,"[HttpPost(""heartbeat"")]"
core,application_or_library,CP6.WebApi/Controllers/Erp/BackorderController.cs,23,GET,"[HttpGet(""queue"")]"
core,application_or_library,CP6.WebApi/Controllers/Erp/BackorderController.cs,30,POST,"[HttpPost(""{webOrderNo}/{detailNo:int}/close-remaining"")]"
core,application_or_library,CP6.WebApi/Controllers/Erp/BackorderController.cs,53,POST,"[HttpPost(""{webOrderNo}/{detailNo:int}/split-to-new-order"")]"
