repository,scope,path,line,entity_type,property
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,50,CrmIdentitySnapshot,CrmIdentitySnapshots
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,51,CrmServiceTokenRecord,CrmServiceTokenRecords
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,52,CrmIdentityBootstrapState,CrmIdentityBootstrapStates
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,57,Sys_User,Sys_Users
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,59,Sys_BrowserSession,Sys_BrowserSessions
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,65,DataProtectionKey,DataProtectionKeys
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,70,Sys_Tenant,Sys_Tenants
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,75,Sys_Dept,Sys_Depts
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,80,Sys_Role,Sys_Roles
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,85,Sys_Menu,Sys_Menus
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,90,Sys_RoleMenu,Sys_RoleMenus
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,95,Sys_UserRole,Sys_UserRoles
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,100,Sys_MenuAction,Sys_MenuActions
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,105,Sys_RoleAction,Sys_RoleActions
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,110,Sys_RoleDataScope,Sys_RoleDataScopes
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,115,Sys_RoleFieldPerm,Sys_RoleFieldPerms
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,118,Sys_PasswordHistory,Sys_PasswordHistories
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,121,Sys_SecurityLog,Sys_SecurityLogs
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,124,Sys_RefreshToken,Sys_RefreshTokens
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,127,Sys_TenantSsoConfig,Sys_TenantSsoConfigs
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,132,Pub_DocSequence,Pub_DocSequences
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,137,Pub_Attachment,Pub_Attachments
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,140,GenTable,Pub_GenTables
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,143,GenColumn,Pub_GenColumns
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,148,Sys_Lang,Sys_Langs
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,153,Sys_DictType,Sys_DictTypes
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,158,Sys_DictData,Sys_DictDatas
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,163,Sys_OperLog,Sys_OperLogs
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,168,Sys_FieldAuditLog,Sys_FieldAuditLogs
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,172,IntegrationEvent,IntegrationEvents
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,175,Space_AuditEvent,SpaceAuditEvents
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,180,EstimateCalc,EstimateCalcs
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,183,EstimateCalcProcess,EstimateCalcProcesses
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,186,MasterBase,MasterBases
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,189,MasterStaff,MasterStaffs
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,192,MasterGenericCode,MasterGenericCodes
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,197,Quotation,Quotations
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,200,QuotationCalc,QuotationCalcs
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,203,QuotationDetail,QuotationDetails
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,208,ProductMaster,ProductMasters
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,211,ProductProcess,ProductProcesses
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,214,ProductMaterial,ProductMaterials
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,217,ProductLotPrice,ProductLotPrices
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,220,ProductCoProduct,ProductCoProducts
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,225,Order,Orders
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,228,OrderDetail,OrderDetails
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,231,CreditNote,CreditNotes
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,234,OrderProcess,OrderProcesses
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,237,OrderProcessNote,OrderProcessNotes
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,240,OrderMaterial,OrderMaterials
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,245,BusinessPartner,BusinessPartners
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,248,FscChecklist,FscChecklists
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,251,DocSequence,DocSequences
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,254,SheetUnitPrice,SheetUnitPrices
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,255,SheetUnitPriceEstimate,SheetUnitPriceEstimates
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,258,PlateMold,PlateMolds
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,262,WorkOrder,WorkOrders
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,264,WorkOrderProcess,WorkOrderProcesses
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,266,WorkOrderMaterial,WorkOrderMaterials
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,268,ProductionResult,ProductionResults
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,270,QualityInspection,QualityInspections
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,272,QualityInspectionItem,QualityInspectionItems
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,274,DefectRecord,DefectRecords
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,276,InspectionTemplate,InspectionTemplates
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,278,DefectCategory,DefectCategories
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,280,MesSequence,MesSequences
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,284,Machine,Machines
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,286,MachineDowntime,MachineDowntimes
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,288,OeeDaily,OeeDailies
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,292,Warehouse,Warehouses
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,294,Location,Locations
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,296,Stock,Stocks
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,298,StockTransaction,StockTransactions
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,300,WmsSequence,WmsSequences
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,304,InboundOrder,InboundOrders
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,306,InboundOrderDetail,InboundOrderDetails
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,308,InboundReceipt,InboundReceipts
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,310,InboundReceiptDetail,InboundReceiptDetails
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,314,OutboundOrder,OutboundOrders
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,316,OutboundOrderDetail,OutboundOrderDetails
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,318,ShippingPackage,ShippingPackages
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,320,MaterialShortage,MaterialShortages
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,322,OutboundRoutingRule,OutboundRoutingRules
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,324,FxRate,FxRates
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,328,StockTake,StockTakes
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,330,StockTakeDetail,StockTakeDetails
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,334,QcInspection,QcInspections
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,336,QcInspectionItem,QcInspectionItems
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,338,RmaHeader,RmaHeaders
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,340,RmaDetail,RmaDetails
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,344,KitMaster,KitMasters
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,346,KitMasterComponent,KitMasterComponents
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,348,KitOrder,KitOrders
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,352,CrossDockOrder,CrossDockOrders
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,354,ReplenishOrder,ReplenishOrders
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,356,SlottingPlan,SlottingPlans
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,360,PaperRoll,PaperRolls
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,362,InkLot,InkLots
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,364,InkColorMatchHistory,InkColorMatchHistories
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,366,Pallet,Pallets
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,368,VmiBilling,VmiBillings
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,372,RemnantMaterial,RemnantMaterials
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,374,PlateMoldStock,PlateMoldStocks
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,376,SampleStock,SampleStocks
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,380,WcsTask,WcsTasks
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,382,CarrierShipment,CarrierShipments
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,384,IotSensor,IotSensors
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,386,IotSensorReading,IotSensorReadings
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,390,MobileTask,MobileTasks
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,391,WmsFeatureFlag,WmsFeatureFlags
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,392,WmsFeatureFlagChange,WmsFeatureFlagChanges
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,393,WmsRoleScope,WmsRoleScopes
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,394,ClientDevice,ClientDevices
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,395,DeviceActivation,DeviceActivations
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,396,BarcodeAlias,BarcodeAliases
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,397,MobileTaskReservation,MobileTaskReservations
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,398,MobileTaskEvent,MobileTaskEvents
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,399,MobileTaskScanLog,MobileTaskScanLogs
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,400,TaskCommandReceipt,TaskCommandReceipts
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,401,SpaceDispatchApprovalRequest,SpaceDispatchApprovalRequests
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,403,SpaceDispatchExecutionAction,SpaceDispatchExecutionActions
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,405,StockSerial,StockSerials
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,406,StockSerialTransaction,StockSerialTransactions
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,407,LogisticsUnit,LogisticsUnits
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,408,LpnContent,LpnContents
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,409,LpnClosure,LpnClosures
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,410,LpnPolicy,LpnPolicies
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,411,LpnEvent,LpnEvents
core,application_or_library,CP6.Core/EFDbContext/CP6Context.cs,412,BarcodeProfile,BarcodeProfiles
