repository,scope,path,sdk,framework,project_references,package_references
core,application_or_library,CP6.Client.Api/CP6.Client.Api.csproj,Microsoft.NET.Sdk,net8.0,,
core,application_or_library,CP6.Client.Core/CP6.Client.Core.csproj,Microsoft.NET.Sdk,net8.0,..\CP6.Client.Api\CP6.Client.Api.csproj,Microsoft.AspNetCore.SignalR.Client@8.0.12;Microsoft.Extensions.DependencyInjection.Abstractions@8.0.2;Microsoft.Extensions.Http@8.0.1;Microsoft.Extensions.Logging.Abstractions@8.0.2
core,application_or_library,CP6.Client.Tests/CP6.Client.Tests.csproj,Microsoft.NET.Sdk,net8.0,..\CP6.Client.Core\CP6.Client.Core.csproj;..\CP6.Client.Api\CP6.Client.Api.csproj,Microsoft.NET.Test.Sdk@17.14.1;xunit@2.9.3;xunit.runner.visualstudio@3.1.4
core,application_or_library,CP6.Core/CP6.Core.csproj,Microsoft.NET.Sdk,net8.0,..\CP6.Entity\CP6.Entity.csproj,CP6.Platform.Messaging@[0.10.2];CP6.Platform.EntityFramework@[0.10.2];BCrypt.Net-Next@4.0.3;AWSSDK.S3@3.7.511.8;Otp.NET@1.4.0;ClosedXML@0.105.0;Confluent.Kafka@2.6.1;Dapper@2.1.72;Microsoft.AspNetCore.DataProtection.EntityFrameworkCore@8.0.30;Microsoft.EntityFrameworkCore.SqlServer@8.0.30;Microsoft.Extensions.Caching.StackExchangeRedis@8.0.12;NCrontab@3.3.3;RabbitMQ.Client@7.2.1;Scriban@7.2.4;System.Security.Cryptography.Xml@8.0.4;System.IdentityModel.Tokens.Jwt@8.17.0;Microsoft.IdentityModel.Protocols.OpenIdConnect@8.17.0
core,application_or_library,CP6.Desktop/CP6.Desktop.csproj,Microsoft.NET.Sdk,net8.0-windows10.0.19041.0,..\CP6.Client.Core\CP6.Client.Core.csproj,CommunityToolkit.Mvvm@8.4.0;Microsoft.Extensions.Hosting@8.0.1;System.Security.Cryptography.ProtectedData@8.0.0
core,application_or_library,CP6.Entity/CP6.Entity.csproj,Microsoft.NET.Sdk,net8.0,,Microsoft.EntityFrameworkCore@8.0.30
core,application_or_library,CP6.Mobile/CP6.Mobile.csproj,Microsoft.NET.Sdk,net10.0-android,..\CP6.Client.Core\CP6.Client.Core.csproj,CommunityToolkit.Mvvm@8.4.0;Microsoft.Extensions.Logging.Debug@10.0.0;Microsoft.Maui.Controls@10.0.20;ZXing.Net.Maui.Controls@0.10.3
core,application_or_library,CP6.Oidc.IntegrationTests/CP6.Oidc.IntegrationTests.csproj,Microsoft.NET.Sdk,net8.0,../CP6.WebApi/CP6.WebApi.csproj,Microsoft.NET.Test.Sdk@17.14.1;xunit@2.9.3;xunit.runner.visualstudio@3.1.4
core,application_or_library,CP6.Space.Application/CP6.Space.Application.csproj,Microsoft.NET.Sdk,net8.0,..\CP6.Space.Contracts\CP6.Space.Contracts.csproj;..\CP6.Space.Domain\CP6.Space.Domain.csproj,
core,application_or_library,CP6.Space.Client/CP6.Space.Client.csproj,Microsoft.NET.Sdk,net8.0,,
core,application_or_library,CP6.Space.Contracts/CP6.Space.Contracts.csproj,Microsoft.NET.Sdk,net8.0,,
core,application_or_library,CP6.Space.Domain/CP6.Space.Domain.csproj,Microsoft.NET.Sdk,net8.0,,
core,application_or_library,CP6.Space.Infrastructure/CP6.Space.Infrastructure.csproj,Microsoft.NET.Sdk,net8.0,..\CP6.Core\CP6.Core.csproj;..\CP6.Entity\CP6.Entity.csproj;..\CP6.Space.Application\CP6.Space.Application.csproj;..\CP6.Space.Domain\CP6.Space.Domain.csproj,DocumentFormat.OpenXml@3.1.1;Microsoft.EntityFrameworkCore.Design@8.0.30;Microsoft.EntityFrameworkCore.SqlServer@8.0.30
core,application_or_library,CP6.Space.IntegrationTests/CP6.Space.IntegrationTests.csproj,Microsoft.NET.Sdk,net8.0,..\CP6.Space.Application\CP6.Space.Application.csproj;..\CP6.Space.Domain\CP6.Space.Domain.csproj;..\CP6.Space.Infrastructure\CP6.Space.Infrastructure.csproj,Microsoft.EntityFrameworkCore.InMemory@8.0.30;Microsoft.EntityFrameworkCore.SqlServer@8.0.30;Microsoft.NET.Test.Sdk@17.14.1;xunit@2.9.3;xunit.runner.visualstudio@3.1.4
core,application_or_library,CP6.Space.UnitTests/CP6.Space.UnitTests.csproj,Microsoft.NET.Sdk,net8.0,..\CP6.Space.Application\CP6.Space.Application.csproj;..\CP6.Space.Domain\CP6.Space.Domain.csproj,Microsoft.NET.Test.Sdk@17.14.1;xunit@2.9.3;xunit.runner.visualstudio@3.1.4
