path,line,code
cp6.web/src/api/erp/backorder.ts,12,"return http.get<any, ApiResult<BackorderQueueItem[]>>('/backorder/queue', { params: query })"
cp6.web/src/api/erp/backorder.ts,16,"return http.post<any, ApiResult<BackorderActionResult>>("
cp6.web/src/api/erp/backorder.ts,23,"return http.post<any, ApiResult<BackorderActionResult>>("
cp6.web/src/api/erp/businessPartner.ts,10,"return http.get<any, ApiResult<BusinessPartnerDto>>("
cp6.web/src/api/erp/businessPartner.ts,18,"return http.get<any, ApiResult<{ exists: boolean }>>("
cp6.web/src/api/erp/businessPartner.ts,25,"return http.post<any, ApiResult<BusinessPartnerDto>>("
cp6.web/src/api/erp/businessPartner.ts,32,"return http.put<any, ApiResult<BusinessPartnerDto>>("
cp6.web/src/api/erp/businessPartner.ts,39,"return http.delete<any, ApiResult<null>>("
cp6.web/src/api/erp/businessPartner.ts,47,"return http.get<any, ApiResult<{ rows: BpListItemDto[]; total: number }>>("
cp6.web/src/api/erp/businessPartner.ts,55,"return http.get<Blob>('/business-partners/export-csv', {"
cp6.web/src/api/erp/creditNote.ts,6,"return http.post<any, ApiResult<CreditNotePaged>>('/credit-note/search', query)"
cp6.web/src/api/erp/estimateCalc.ts,15,"return http.get<any, ApiResult<{ total: number; rows: EstimateCalcListItem[] }>>("
cp6.web/src/api/erp/estimateCalc.ts,23,"return http.get<any, ApiResult<EstimateCalcDto>>("
cp6.web/src/api/erp/estimateCalc.ts,31,"return http.post<any, ApiResult<EstimateCalcDto>>('/estimate-calcs', data)"
cp6.web/src/api/erp/estimateCalc.ts,36,"return http.put<any, ApiResult<EstimateCalcDto>>("
cp6.web/src/api/erp/estimateCalc.ts,44,"return http.delete<any, ApiResult<null>>("
cp6.web/src/api/erp/estimateCalc.ts,52,"return http.post<any, ApiResult<EstimateCalcDto>>("
cp6.web/src/api/erp/estimateCalc.ts,59,"return http.post<any, ApiResult<EstimateCalcResult>>('/estimate-calcs/calculate', data)"
cp6.web/src/api/erp/fsc.ts,11,"return http.get<any, ApiResult<{ rows: FscChecklistItemDto[]; total: number }>>("
cp6.web/src/api/erp/fsc.ts,19,"return http.get<any, ApiResult<FscFormat[]>>('/fsc-checklists/formats')"
cp6.web/src/api/erp/fsc.ts,24,"return http.post<any, ApiResult<FscIssueResultDto>>('/fsc-checklists/issue', req)"
cp6.web/src/api/erp/fxRate.ts,6,"return http.get<any, WmsApi<FxRate[]>>('/erp/fx-rate', { params: { currencyCd } })"
cp6.web/src/api/erp/fxRate.ts,10,"return http.get<any, WmsApi<number | null>>('/erp/fx-rate/resolve', { params: { currencyCd, asOf } })"
cp6.web/src/api/erp/fxRate.ts,14,"return http.post<any, WmsApi<FxRate>>('/erp/fx-rate', rate)"
cp6.web/src/api/erp/fxRate.ts,18,"return http.put<any, WmsApi<unknown>>(`/erp/fx-rate/${encodeURIComponent(id)}`, rate)"
cp6.web/src/api/erp/fxRate.ts,22,"return http.delete<any, WmsApi<unknown>>(`/erp/fx-rate/${encodeURIComponent(id)}`)"
cp6.web/src/api/erp/master.ts,39,"return http.get<any, ApiResult<MasterBase[]>>('/master/bases')"
cp6.web/src/api/erp/master.ts,44,"return http.get<any, ApiResult<MasterStaff[]>>('/master/staffs', {"
cp6.web/src/api/erp/master.ts,51,"return http.get<any, ApiResult<MasterGenericCode[]>>('/master/generic-codes', {"
cp6.web/src/api/erp/master.ts,58,"return http.get<any, ApiResult<MasterLookupResult<CustomerLookupItem>>>("
cp6.web/src/api/erp/master.ts,72,"return http.get<any, ApiResult<MasterLookupResult<ProductLookupItem>>>("
cp6.web/src/api/erp/order.ts,30,"return http.get<any, ApiResult<{ sequence: string }>>('/orders/next-seq')"
cp6.web/src/api/erp/order.ts,34,"return http.get<any, ApiResult<OrderDto>>("
cp6.web/src/api/erp/order.ts,41,"return http.post<any, ApiResult<OrderDto>>('/orders', data)"
cp6.web/src/api/erp/order.ts,45,"return http.put<any, ApiResult<OrderDto>>(`/orders/${encodeURIComponent(no)}`, data)"
cp6.web/src/api/erp/order.ts,49,"return http.delete<any, ApiResult<null>>("
cp6.web/src/api/erp/order.ts,68,"return http.post<any, ApiResult<OrderCancelResult>>("
cp6.web/src/api/erp/order.ts,79,"return http.post<any, ApiResult<PagedResult<UnshippedOrderItemDto>>>("
cp6.web/src/api/erp/order.ts,88,"return http.get<any, ApiResult<OrderDto>>('/orders/by-haibai-no', {"
cp6.web/src/api/erp/order.ts,94,"return http.get<any, ApiResult<OrderDetailDto[]>>("
cp6.web/src/api/erp/order.ts,100,"return http.get<any, ApiResult<OrderDetailDto>>("
cp6.web/src/api/erp/order.ts,106,"return http.get<any, ApiResult<OrderProcessDto[]>>("
cp6.web/src/api/erp/order.ts,112,"return http.get<any, ApiResult<OrderMaterialDto[]>>("
cp6.web/src/api/erp/order.ts,120,"return http.get<any, ApiResult<IsEditableResultDto>>('/orders/calc-is-editable', {"
cp6.web/src/api/erp/order.ts,126,"return http.get<any, ApiResult<OrderWipCheckResultDto>>('/orders/check-wip', {"
cp6.web/src/api/erp/order.ts,132,"return http.get<any, ApiResult<CreditCheckResultDto>>('/orders/credit-check', {"
cp6.web/src/api/erp/order.ts,138,"return http.get<any, ApiResult<{ ok: boolean }>>('/orders/consigned-check', {"
cp6.web/src/api/erp/order.ts,144,"return http.post<any, ApiResult<string[]>>('/orders/lead-time', req)"
cp6.web/src/api/erp/order.ts,150,"return http.get<any, ApiResult<{ rows: OrderListItemDto[]; total: number }>>("
cp6.web/src/api/erp/order.ts,157,"return http.get<Blob>('/orders/list/export.csv', {"
cp6.web/src/api/erp/order.ts,167,"return http.get<any, ApiResult<{ rows: OrderPriceCorrectionItemDto[]; total: number }>>("
cp6.web/src/api/erp/order.ts,174,"return http.put<any, ApiResult<OrderPriceCorrectionBatchResultDto>>("
cp6.web/src/api/erp/orderTrace.ts,6,"return http.get<any, ApiResult<OrderTrace>>(`/order-trace/${encodeURIComponent(webOrderNo)}`)"
cp6.web/src/api/erp/otdReport.ts,6,"return http.post<any, ApiResult<OtdReportSummary>>('/otd-report/summary', query)"
cp6.web/src/api/erp/otdReport.ts,10,"return http.post<Blob>('/otd-report/export-csv', query, { responseType: 'blob' })"
cp6.web/src/api/erp/plateMold.ts,23,"return http.get<any, ApiResult<{ sequence: string }>>('/plate-molds/next-seq')"
cp6.web/src/api/erp/plateMold.ts,26,"return http.get<any, ApiResult<PlateMoldDto>>("
