repository,scope,path,lines,type
core,application_or_library,CP6.Desktop/App.xaml,19,xaml
core,application_or_library,CP6.Desktop/MainWindow.xaml,244,xaml
core,application_or_library,CP6.Mobile/App.xaml,17,xaml
core,application_or_library,CP6.Mobile/AppShell.xaml,4,xaml
core,application_or_library,CP6.Mobile/DeviceActivationPage.xaml,22,xaml
core,application_or_library,CP6.Mobile/LoginPage.xaml,38,xaml
core,application_or_library,CP6.Mobile/MoveScanPage.xaml,42,xaml
core,application_or_library,CP6.Mobile/TaskDetailPage.xaml,23,xaml
core,application_or_library,CP6.Mobile/TaskListPage.xaml,35,xaml
core,application_or_library,CP6.Mobile/UpgradePage.xaml,34,xaml
core,application_or_library,cp6.web/src/App.vue,14,vue
core,application_or_library,cp6.web/src/components/ImpersonationBanner.vue,98,vue
core,application_or_library,cp6.web/src/components/MenuTreeItem.vue,41,vue
core,application_or_library,cp6.web/src/components/PubImportDialog.vue,135,vue
core,application_or_library,cp6.web/src/components/PubUpload.vue,116,vue
core,application_or_library,cp6.web/src/components/VolForm.vue,130,vue
core,application_or_library,cp6.web/src/components/VolTable.vue,524,vue
core,application_or_library,cp6.web/src/components/approval/ApprovalPanel.vue,149,vue
core,application_or_library,cp6.web/src/components/base/CpEmpty.vue,35,vue
core,application_or_library,cp6.web/src/components/base/CpSectionHeader.vue,31,vue
core,application_or_library,cp6.web/src/components/base/CpTag.vue,45,vue
core,application_or_library,cp6.web/src/components/estimate/RecycleLawDialog.vue,220,vue
core,application_or_library,cp6.web/src/components/master/MasterReferenceDialog.vue,210,vue
core,application_or_library,cp6.web/src/components/oa/ActingAsBanner.vue,65,vue
core,application_or_library,cp6.web/src/components/templates/CpDetailPanel.vue,58,vue
core,application_or_library,cp6.web/src/components/templates/CpFilterBar.vue,175,vue
core,application_or_library,cp6.web/src/components/templates/CpFormDialog.vue,167,vue
core,application_or_library,cp6.web/src/components/templates/CpListPage.vue,324,vue
core,application_or_library,cp6.web/src/components/templates/CpPageShell.vue,38,vue
core,application_or_library,cp6.web/src/components/templates/CpStatCard.vue,173,vue
core,application_or_library,cp6.web/src/components/templates/CpStatusStrip.vue,64,vue
core,application_or_library,cp6.web/src/modules/space-design/ai-review/DesignAiGenerationLauncherPanel.vue,296,vue
core,application_or_library,cp6.web/src/modules/space-design/ai-review/DesignAiProposalDecisionPanel.vue,788,vue
core,application_or_library,cp6.web/src/modules/space-design/ai-review/DesignAiProposalReviewPanel.vue,315,vue
core,application_or_library,cp6.web/src/modules/space-design/cad-review/DesignCadIssuePanel.vue,410,vue
core,application_or_library,cp6.web/src/modules/space-design/cad-review/DesignCadReviewCandidatePicker.vue,160,vue
core,application_or_library,cp6.web/src/modules/space-design/cad-review/DesignExcelCadMatchPanel.vue,521,vue
core,application_or_library,cp6.web/src/modules/space-design/cad-start/DesignCadMappingProfileManager.vue,318,vue
core,application_or_library,cp6.web/src/modules/space-design/cad-start/DesignCadStartWizard.vue,790,vue
core,application_or_library,cp6.web/src/modules/space-design/coding/DesignLocationCodingPanel.vue,161,vue
core,application_or_library,cp6.web/src/modules/space-design/excel-cad/DesignExcelCadStartWizard.vue,384,vue
core,application_or_library,cp6.web/src/modules/space-design/layout/DesignLayoutCreatePanel.vue,426,vue
core,application_or_library,cp6.web/src/modules/space-design/layout/DesignLayoutPropertiesPanel.vue,194,vue
core,application_or_library,cp6.web/src/modules/space-design/panels/DesignBatchToolsPanel.vue,329,vue
core,application_or_library,cp6.web/src/modules/space-design/panels/DesignElementPropertiesPanel.vue,302,vue
core,application_or_library,cp6.web/src/modules/space-design/panels/DesignWmsAdoptionPanel.vue,532,vue
core,application_or_library,cp6.web/src/modules/space-design/panels/SpaceStudioChecklist.vue,42,vue
core,application_or_library,cp6.web/src/modules/space-design/panels/SpaceStudioContextPanel.vue,291,vue
core,application_or_library,cp6.web/src/modules/space-design/preview3d/DesignScenePreview3D.vue,297,vue
core,application_or_library,cp6.web/src/modules/space-design/sources/DesignSourceList.vue,210,vue
core,application_or_library,cp6.web/src/modules/space-design/templates/DesignWarehouseTemplatePanel.vue,323,vue
core,application_or_library,cp6.web/src/views/DetachedWorkspaceView.vue,27,vue
core,application_or_library,cp6.web/src/views/LayoutView.vue,727,vue
core,application_or_library,cp6.web/src/views/LoginView.vue,1827,vue
core,application_or_library,cp6.web/src/views/dashboard/DashboardView.vue,1055,vue
core,application_or_library,cp6.web/src/views/dashboard/HomeView.vue,3,vue
core,application_or_library,cp6.web/src/views/dashboard/components/DonutChart.vue,152,vue
core,application_or_library,cp6.web/src/views/erp/BackorderListView.vue,240,vue
core,application_or_library,cp6.web/src/views/erp/BusinessPartnerListView.vue,228,vue
core,application_or_library,cp6.web/src/views/erp/BusinessPartnerView.vue,284,vue
core,application_or_library,cp6.web/src/views/erp/CreditNoteListView.vue,126,vue
core,application_or_library,cp6.web/src/views/erp/EstimateCalcListView.vue,148,vue
