path,module,lines,routes,referenced_by,apis_transitive,template_components,permission_directives,style_scoped,inline_style_count,media_rules
cp6.web/src/views/dashboard/components/DonutChart.vue,dashboard,152,,cp6.web/src/views/dashboard/DashboardView.vue,,,0,True,1,0
cp6.web/src/views/dashboard/DashboardView.vue,dashboard,1055,/dashboard,cp6.web/src/router/index.ts,cp6.web/src/api/erp/order.ts | cp6.web/src/api/sys/dashboard.ts | cp6.web/src/api/wms/stockDwell.ts,CpStatCard,0,True,26,3
cp6.web/src/views/dashboard/HomeView.vue,dashboard,3,,,,,0,False,0,0
cp6.web/src/views/DetachedWorkspaceView.vue,_root,27,/oa/designer/window | /wf/form-designer/window | /wf/flow-designer/window,cp6.web/src/router/index.ts,,,0,True,0,0
cp6.web/src/views/erp/BackorderListView.vue,erp,240,/erp/backorder,cp6.web/src/router/index.ts,cp6.web/src/api/erp/backorder.ts,CpListPage | CpPageShell | CpTag,2,True,0,1
cp6.web/src/views/erp/bp/ApTab.vue,erp,15,,cp6.web/src/views/erp/BusinessPartnerView.vue,,,0,False,1,0
cp6.web/src/views/erp/bp/ArTab.vue,erp,18,,cp6.web/src/views/erp/BusinessPartnerView.vue,,,0,False,2,0
cp6.web/src/views/erp/bp/BasicInfoTab.vue,erp,74,,cp6.web/src/views/erp/BusinessPartnerView.vue,,,0,True,21,0
cp6.web/src/views/erp/bp/BillingTab.vue,erp,34,,cp6.web/src/views/erp/BusinessPartnerView.vue,,,0,True,14,0
cp6.web/src/views/erp/bp/CustomerTab.vue,erp,85,,cp6.web/src/views/erp/BusinessPartnerView.vue,,,0,True,42,0
cp6.web/src/views/erp/bp/DeliveryTab.vue,erp,24,,cp6.web/src/views/erp/BusinessPartnerView.vue,,,0,True,9,0
cp6.web/src/views/erp/bp/PaymentTab.vue,erp,13,,cp6.web/src/views/erp/BusinessPartnerView.vue,,,0,False,0,0
cp6.web/src/views/erp/bp/PaySchTab.vue,erp,41,,cp6.web/src/views/erp/BusinessPartnerView.vue,,,0,True,5,0
cp6.web/src/views/erp/bp/ReceiptTab.vue,erp,38,,cp6.web/src/views/erp/BusinessPartnerView.vue,,,0,True,18,0
cp6.web/src/views/erp/bp/SupplierTab.vue,erp,58,,cp6.web/src/views/erp/BusinessPartnerView.vue,,,0,True,15,0
cp6.web/src/views/erp/BusinessPartnerListView.vue,erp,228,/business-partner-list,cp6.web/src/router/index.ts,cp6.web/src/api/erp/businessPartner.ts,CpTag,1,True,18,0
cp6.web/src/views/erp/BusinessPartnerView.vue,erp,284,/business-partner | /business-partner/window,cp6.web/src/router/index.ts,cp6.web/src/api/erp/businessPartner.ts,CpTag,2,True,6,0
cp6.web/src/views/erp/CreditNoteListView.vue,erp,126,/erp/credit-note,cp6.web/src/router/index.ts,cp6.web/src/api/erp/creditNote.ts,CpListPage | CpPageShell,0,False,0,0
cp6.web/src/views/erp/estimate/Step1BasicInfo.vue,erp,634,,cp6.web/src/views/erp/EstimateCalcView.vue,cp6.web/src/api/erp/master.ts,,0,True,16,0
cp6.web/src/views/erp/estimate/Step2Processes.vue,erp,248,,cp6.web/src/views/erp/EstimateCalcView.vue,cp6.web/src/api/erp/master.ts,,0,True,4,0
cp6.web/src/views/erp/estimate/Step3Result.vue,erp,185,,cp6.web/src/views/erp/EstimateCalcView.vue,cp6.web/src/api/erp/estimateCalc.ts,,0,True,3,0
cp6.web/src/views/erp/EstimateCalcListView.vue,erp,148,/estimate-calc-list,cp6.web/src/router/index.ts,cp6.web/src/api/erp/estimateCalc.ts | cp6.web/src/api/erp/master.ts,CpListPage,4,False,0,0
cp6.web/src/views/erp/EstimateCalcView.vue,erp,485,/estimate-calc | /estimate-calc/window,cp6.web/src/router/index.ts,cp6.web/src/api/erp/estimateCalc.ts | cp6.web/src/api/erp/master.ts,,2,True,1,0
cp6.web/src/views/erp/FscChecklistView.vue,erp,212,/fsc-checklist,cp6.web/src/router/index.ts,cp6.web/src/api/erp/fsc.ts,CpTag,1,True,13,0
cp6.web/src/views/erp/FxRateView.vue,erp,179,/erp/fx-rate,cp6.web/src/router/index.ts,cp6.web/src/api/erp/fxRate.ts,CpFormDialog | CpListPage | CpPageShell | CpTag,3,True,3,0
cp6.web/src/views/erp/order/Step1HeaderAndDetails.vue,erp,321,,cp6.web/src/views/erp/OrderEntryView.vue,cp6.web/src/api/erp/master.ts | cp6.web/src/api/erp/order.ts,CpTag,0,True,19,0
cp6.web/src/views/erp/order/Step2BasicInfo.vue,erp,161,,cp6.web/src/views/erp/OrderEntryView.vue,cp6.web/src/api/erp/order.ts,CpTag,0,False,36,0
cp6.web/src/views/erp/order/Step3ProcessInfo.vue,erp,248,,cp6.web/src/views/erp/OrderEntryView.vue,cp6.web/src/api/erp/order.ts,,0,False,15,0
cp6.web/src/views/erp/OrderCancelDialog.vue,erp,230,,cp6.web/src/views/erp/OrderListView.vue,cp6.web/src/api/erp/order.ts,CpTag,0,False,5,0
cp6.web/src/views/erp/OrderEntryView.vue,erp,321,/order | /order/window,cp6.web/src/router/index.ts,cp6.web/src/api/erp/master.ts | cp6.web/src/api/erp/order.ts,CpTag,2,True,2,0
cp6.web/src/views/erp/OrderListView.vue,erp,214,/order-list,cp6.web/src/router/index.ts,cp6.web/src/api/erp/order.ts,CpListPage | CpTag,1,True,0,0
cp6.web/src/views/erp/OrderPriceCorrectionView.vue,erp,247,/order-price-correction,cp6.web/src/router/index.ts,cp6.web/src/api/erp/order.ts,CpTag,1,True,18,0
cp6.web/src/views/erp/OrderTraceView.vue,erp,455,/erp/order-trace,cp6.web/src/router/index.ts,cp6.web/src/api/erp/orderTrace.ts,CpTag,0,True,0,1
cp6.web/src/views/erp/OtdReportView.vue,erp,421,/erp/otd-report,cp6.web/src/router/index.ts,cp6.web/src/api/erp/otdReport.ts,CpTag,0,True,1,1
cp6.web/src/views/erp/PlateMoldListView.vue,erp,254,/plate-mold-list,cp6.web/src/router/index.ts,cp6.web/src/api/erp/plateMold.ts,CpTag,0,True,36,0
cp6.web/src/views/erp/PlateMoldView.vue,erp,327,/plate-mold,cp6.web/src/router/index.ts,cp6.web/src/api/erp/plateMold.ts,CpTag,2,True,66,0
cp6.web/src/views/erp/product/Step1TargetSelect.vue,erp,339,,cp6.web/src/views/erp/ProductMasterView.vue,cp6.web/src/api/erp/master.ts | cp6.web/src/api/erp/product.ts,CpTag,0,True,9,0
cp6.web/src/views/erp/product/Step2BasicInfo.vue,erp,427,,cp6.web/src/views/erp/ProductMasterView.vue,cp6.web/src/api/erp/master.ts | cp6.web/src/api/erp/product.ts,,0,True,14,0
cp6.web/src/views/erp/product/Step3ProcessInfo.vue,erp,428,,cp6.web/src/views/erp/ProductMasterView.vue,,CpTag,0,True,17,0
cp6.web/src/views/erp/product/Step4MaterialSetting.vue,erp,182,,cp6.web/src/views/erp/ProductMasterView.vue,,,0,True,7,0
cp6.web/src/views/erp/product/Step5LotPriceOther.vue,erp,291,,cp6.web/src/views/erp/ProductMasterView.vue,,,0,True,14,0
cp6.web/src/views/erp/ProductMasterListView.vue,erp,226,/product-list,cp6.web/src/router/index.ts,cp6.web/src/api/erp/product.ts,CpListPage | CpTag,4,True,0,0
