kind,route,component,line
viewModules,/dashboard,cp6.web/src/views/dashboard/DashboardView.vue,8
viewModules,/role,cp6.web/src/views/pms/RoleView.vue,10
viewModules,/menu,cp6.web/src/views/pms/MenuView.vue,11
viewModules,/permission,cp6.web/src/views/pms/PermissionView.vue,12
viewModules,/user,cp6.web/src/views/pms/UserView.vue,13
viewModules,/lang,cp6.web/src/views/pms/LangView.vue,14
viewModules,/dict,cp6.web/src/views/pms/DictView.vue,15
viewModules,/operlog,cp6.web/src/views/pms/OperLogView.vue,16
viewModules,/sys/security-log,cp6.web/src/views/pms/SecurityLogView.vue,17
viewModules,/sys/sso-config,cp6.web/src/views/pms/SsoConfigView.vue,18
viewModules,/sys/2fa-settings,cp6.web/src/views/pms/TwoFactorSettingsView.vue,19
viewModules,/sys/field-audit,cp6.web/src/views/pms/FieldAuditView.vue,20
viewModules,/platform/tenant,cp6.web/src/views/platform/TenantListView.vue,22
viewModules,/platform/admin,cp6.web/src/views/platform/PlatformAdminView.vue,23
viewModules,/platform/impersonation,cp6.web/src/views/platform/ImpersonationView.vue,24
viewModules,/platform/audit,cp6.web/src/views/platform/CrossTenantAuditView.vue,25
viewModules,/platform/gdpr,cp6.web/src/views/platform/GdprView.vue,26
viewModules,/pub/dept,cp6.web/src/views/pms/DeptTreeView.vue,27
viewModules,/pub/role-perm,cp6.web/src/views/pms/RolePermView.vue,28
viewModules,/pub/data-scope,cp6.web/src/views/pms/DataScopeView.vue,29
viewModules,/pub/field-perm,cp6.web/src/views/pms/FieldPermView.vue,30
viewModules,/pub/seq,cp6.web/src/views/pms/SeqView.vue,31
viewModules,/pub/codegen,cp6.web/src/views/pms/CodeGenView.vue,32
viewModules,/oa/inbox,cp6.web/src/views/oa/inbox/InboxView.vue,34
viewModules,/oa/flow-admin,cp6.web/src/views/oa/admin/FlowAdmin.vue,35
viewModules,/oa/form-catalog,cp6.web/src/views/oa/catalog/FormCatalog.vue,37
viewModules,/oa/form-search,cp6.web/src/views/oa/query/FormQuery.vue,38
viewModules,/oa/settings,cp6.web/src/views/oa/settings/InboxSettings.vue,39
viewModules,/oa/designer,cp6.web/src/views/oa/designer/DesignerView.vue,41
viewModules,/oa/approver-map,cp6.web/src/views/oa/admin/ApproverMapView.vue,43
viewModules,/oa/work-calendar,cp6.web/src/views/oa/admin/WorkCalendar.vue,44
viewModules,/oa/form-initiate,cp6.web/src/views/oa/catalog/FormInitiate.vue,46
viewModules,/wf/form-designer,cp6.web/src/views/wf/designer/FormDesigner.vue,48
viewModules,/wf/flow-designer,cp6.web/src/views/wf/designer/FlowDesigner.vue,49
viewModules,/fin/account,cp6.web/src/views/fin/GlAccountView.vue,51
viewModules,/fin/journal,cp6.web/src/views/fin/JournalEntryView.vue,52
viewModules,/fin/trial-balance,cp6.web/src/views/fin/TrialBalanceView.vue,53
viewModules,/fin/period,cp6.web/src/views/fin/PeriodCloseView.vue,54
viewModules,/fin/ap-invoice,cp6.web/src/views/fin/ApInvoiceView.vue,55
viewModules,/fin/ap-payment,cp6.web/src/views/fin/PaymentView.vue,56
viewModules,/fin/ap-aging,cp6.web/src/views/fin/ApAgingView.vue,57
viewModules,/fin/ar-invoice,cp6.web/src/views/fin/ArInvoiceView.vue,58
viewModules,/fin/ar-receipt,cp6.web/src/views/fin/ReceiptView.vue,59
viewModules,/fin/ar-aging,cp6.web/src/views/fin/ArAgingView.vue,60
viewModules,/fin/balance-sheet,cp6.web/src/views/fin/BalanceSheetView.vue,61
viewModules,/fin/income-statement,cp6.web/src/views/fin/IncomeStatementView.vue,62
viewModules,/fin/cost,cp6.web/src/views/fin/CostSheetView.vue,63
